Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 CON2PX	 CON2PY	 CON2PZ	 
4.9	 231412	 231453	 231453	 -267	 0	 0	 
5	 231468	 231509	 231509	 -267	 0	 0	 
5.1	 231879	 231923	 231923	 -267	 0	 0	 
5.2	 232362	 232413	 232413	 -267	 0	 0	 
5.3	 232613	 232673	 232673	 -267	 0	 0	 
5.4	 232450	 232519	 232519	 -267	 0	 0	 
5.5	 231901	 231975	 231975	 -267	 0	 0	 
5.6	 231177	 231250	 231250	 -267	 0	 0	 
5.7	 230561	 230631	 230631	 -267	 0	 0	 
5.8	 230268	 230333	 230333	 -267	 0	 0	 
5.9	 230342	 230405	 230405	 -267	 0	 0	 
6	 230641	 230706	 230706	 -267	 0	 0	 
6.1	 230919	 230988	 230988	 -267	 0	 0	 
6.2	 230946	 231022	 231022	 -267	 0	 0	 
6.3	 230629	 230710	 230710	 -267	 0	 0	 
6.4	 230049	 230132	 230132	 -267	 0	 0	 
6.5	 229416	 229496	 229496	 -267	 0	 0	 
6.6	 228962	 229036	 229036	 -267	 0	 0	 
6.7	 228821	 228891	 228891	 -267	 0	 0	 
6.8	 228971	 229040	 229040	 -267	 0	 0	 
6.9	 229250	 229321	 229321	 -267	 0	 0	 
7	 229439	 229515	 229515	 -267	 0	 0	 
7.1	 229376	 229458	 229458	 -267	 0	 0	 
7.2	 229031	 229116	 229116	 -267	 0	 0	 
7.3	 228517	 228600	 228600	 -267	 0	 0	 
7.4	 228022	 228100	 228100	 -267	 0	 0	 
7.5	 227716	 227787	 227787	 -267	 0	 0	 
7.6	 227665	 227731	 227731	 -267	 0	 0	 
7.7	 227803	 227867	 227867	 -267	 0	 0	 
7.8	 227972	 228038	 228038	 -267	 0	 0	 
7.9	 228006	 228074	 228074	 -267	 0	 0	 
8	 227816	 227886	 227886	 -267	 0	 0	 
8.1	 227434	 227502	 227502	 -267	 0	 0	 
8.2	 226990	 227053	 227053	 -267	 0	 0	 
8.3	 226643	 226697	 226697	 -267	 0	 0	 
8.4	 226499	 226543	 226543	 -267	 0	 0	 
8.5	 226558	 226595	 226595	 -267	 0	 0	 
8.6	 226719	 226751	 226751	 -267	 0	 0	 
8.7	 226833	 226863	 226863	 -267	 0	 0	 
8.8	 226783	 226811	 226811	 -267	 0	 0	 
8.9	 226538	 226562	 226562	 -267	 0	 0	 
9	 226169	 226185	 226185	 -267	 0	 0	 
9.1	 225804	 225808	 225808	 -267	 0	 0	 
9.2	 225560	 225550	 225550	 -267	 0	 0	 
9.3	 225488	 225465	 225465	 -267	 0	 0	 
9.4	 225545	 225511	 225511	 -267	 0	 0	 
9.5	 225625	 225582	 225582	 -267	 0	 0	 
9.6	 225612	 225563	 225563	 -267	 0	 0	 
9.7	 225447	 225392	 225392	 -267	 0	 0	 
9.8	 225152	 225088	 225088	 -267	 0	 0	 
9.9	 224817	 224741	 224741	 -267	 0	 0	 
10	 224552	 224461	 224461	 -267	 0	 0	 
10.1	 224427	 224321	 224321	 -267	 0	 0	 
10.2	 224438	 224318	 224318	 -267	 0	 0	 
10.3	 224513	 224382	 224382	 -267	 0	 0	 
10.4	 224552	 224412	 224412	 -267	 0	 0	 
10.5	 224480	 224332	 224332	 -267	 0	 0	 
10.6	 224283	 224127	 224127	 -267	 0	 0	 
10.7	 224017	 223851	 223851	 -267	 0	 0	 
10.8	 223772	 223594	 223594	 -267	 0	 0	 
10.9	 223624	 223434	 223434	 -267	 0	 0	 
11	 223595	 223075	 223075	 -267	 0	 0	 
11.1	 223324	 222492	 222492	 -267	 0	 0	 
11.2	 222825	 222092	 222092	 -267	 0	 0	 
11.3	 222401	 222257	 222257	 -267	 0	 0	 
11.4	 222457	 222791	 222791	 -267	 0	 0	 
11.5	 222856	 223008	 223008	 -267	 0	 0	 
11.6	 223008	 223052	 223052	 -267	 0	 0	 
11.7	 223062	 222665	 222665	 -267	 0	 0	 
11.8	 222764	 222035	 222035	 -267	 0	 0	 
11.9	 222260	 221462	 221462	 -267	 0	 0	 
12	 221781	 221031	 221031	 -267	 0	 0	 
12.1	 221377	 221014	 221014	 -267	 0	 0	 
12.2	 221298	 221273	 221273	 -267	 0	 0	 
12.3	 221438	 221643	 221643	 -267	 0	 0	 
12.4	 221687	 221932	 221932	 -267	 0	 0	 
12.5	 221897	 221898	 221898	 -267	 0	 0	 
12.6	 221857	 221569	 221569	 -267	 0	 0	 
12.7	 221590	 221029	 221029	 -267	 0	 0	 
12.8	 221128	 220482	 220482	 -267	 0	 0	 
12.9	 220637	 220153	 220153	 -267	 0	 0	 
13	 220294	 220102	 220102	 -267	 0	 0	 
13.1	 220159	 220313	 220313	 -267	 0	 0	 
13.2	 220241	 220611	 220611	 -267	 0	 0	 
13.3	 220408	 220798	 220798	 -267	 0	 0	 
13.4	 220513	 220749	 220749	 -267	 0	 0	 
13.5	 220444	 220432	 220432	 -267	 0	 0	 
13.6	 220163	 219969	 219969	 -267	 0	 0	 
13.7	 219753	 219533	 219533	 -267	 0	 0	 
13.8	 219337	 219279	 219279	 -267	 0	 0	 
13.9	 219052	 219282	 219282	 -267	 0	 0	 
14	 218959	 219476	 219476	 -267	 0	 0	 
14.1	 219028	 219721	 219721	 -267	 0	 0	 
14.2	 219160	 219852	 219852	 -267	 0	 0	 
14.3	 219223	 219761	 219761	 -267	 0	 0	 
14.4	 219131	 219461	 219461	 -267	 0	 0	 
14.5	 218876	 219053	 219053	 -267	 0	 0	 
14.6	 218530	 218697	 218697	 -267	 0	 0	 
14.7	 218212	 218521	 218521	 -267	 0	 0	 
14.8	 218026	 218565	 218565	 -267	 0	 0	 
14.9	 218011	 218764	 218764	 -267	 0	 0	 
15	 218127	 218979	 218979	 -267	 0	 0	 
15.1	 218282	 219082	 219082	 -267	 0	 0	 
15.2	 218362	 218988	 218988	 -267	 0	 0	 
15.3	 218307	 218728	 218728	 -267	 0	 0	 
15.4	 218126	 218406	 218406	 -267	 0	 0	 
15.5	 217883	 218150	 218150	 -267	 0	 0	 
15.6	 217691	 218068	 218068	 -267	 0	 0	 
15.7	 217610	 218159	 218159	 -267	 0	 0	 
15.8	 217671	 218359	 218359	 -267	 0	 0	 
15.9	 217818	 218537	 218537	 -267	 0	 0	 
16	 217952	 218575	 218575	 -267	 0	 0	 
16.1	 218004	 218438	 218438	 -267	 0	 0	 
16.2	 217912	 218152	 218152	 -267	 0	 0	 
16.3	 217712	 217831	 217831	 -267	 0	 0	 
16.4	 217479	 217593	 217593	 -267	 0	 0	 
16.5	 217292	 217506	 217506	 -267	 0	 0	 
16.6	 217224	 217577	 217577	 -267	 0	 0	 
16.7	 217268	 217723	 217723	 -267	 0	 0	 
16.8	 217378	 217838	 217838	 -267	 0	 0	 
16.9	 217473	 217836	 217836	 -267	 0	 0	 
17	 217487	 217695	 217695	 -267	 0	 0	 
17.1	 217400	 217464	 217464	 -267	 0	 0	 
17.2	 217250	 217243	 217243	 -267	 0	 0	 
17.3	 217099	 217117	 217117	 -267	 0	 0	 
17.4	 217031	 217141	 217141	 -267	 0	 0	 
17.5	 217068	 217278	 217278	 -267	 0	 0	 
17.6	 217199	 217448	 217448	 -267	 0	 0	 
17.7	 217366	 217557	 217557	 -267	 0	 0	 
17.8	 217486	 217530	 217530	 -267	 0	 0	 
17.9	 217527	 217380	 217380	 -267	 0	 0	 
18	 217470	 217154	 217154	 -267	 0	 0	 
18.1	 217371	 216956	 216956	 -267	 0	 0	 
18.2	 217291	 216858	 216858	 -267	 0	 0	 
18.3	 217289	 216887	 216887	 -267	 0	 0	 
18.4	 217386	 217011	 217011	 -267	 0	 0	 
18.5	 217551	 217145	 217145	 -267	 0	 0	 
18.6	 217731	 217215	 217215	 -267	 0	 0	 
18.7	 217858	 217169	 217169	 -267	 0	 0	 
18.8	 217902	 217029	 217029	 -267	 0	 0	 
18.9	 217860	 216849	 216849	 -267	 0	 0	 
19	 217781	 216715	 216715	 -267	 0	 0	 
19.1	 217714	 216678	 216678	 -267	 0	 0	 
19.2	 217701	 216745	 216745	 -267	 0	 0	 
19.3	 217752	 216874	 216874	 -267	 0	 0	 
19.4	 217828	 216986	 216986	 -267	 0	 0	 
19.5	 217888	 217025	 217025	 -267	 0	 0	 
19.6	 217876	 216962	 216962	 -267	 0	 0	 
19.7	 217782	 216833	 216833	 -267	 0	 0	 
19.8	 217620	 216699	 216699	 -267	 0	 0	 
19.9	 217444	 216634	 216634	 -267	 0	 0	 
20	 217302	 216674	 216674	 -267	 0	 0	 
20.1	 217231	 216811	 216811	 -267	 0	 0	 
20.2	 217237	 216994	 216994	 -267	 0	 0	 
20.3	 217279	 217148	 217148	 -267	 0	 0	 
20.4	 217319	 217229	 217229	 -267	 0	 0	 
20.5	 217312	 217225	 217225	 -267	 0	 0	 
20.6	 217248	 217172	 217172	 -267	 0	 0	 
20.7	 217155	 217135	 217135	 -267	 0	 0	 
20.8	 217062	 217158	 217158	 -267	 0	 0	 
20.9	 217027	 217273	 217273	 -267	 0	 0	 
21	 217063	 217447	 217447	 -267	 0	 0	 
21.1	 217158	 217627	 217627	 -267	 0	 0	 
21.2	 217285	 217763	 217763	 -267	 0	 0	 
