Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Node5px 	 Node5py 	 Node5pz 	 Node6px 	 Node6py 	 Node6pz 	 Node7px 	 Node7py 	 Node7pz 	 Node8px 	 Node8py 	 Node8pz 	 Node9px 	 Node9py 	 Node9pz 	 Node10px 	 Node10py 	 Node10pz 	 Node11px 	 Node11py 	 Node11pz 	 Node12px 	 Node12py 	 Node12pz 	 Node13px 	 Node13py 	 Node13pz 	 Node14px 	 Node14py 	 Node14pz 	 Node15px 	 Node15py 	 Node15pz 	 Node16px 	 Node16py 	 Node16pz 	 Node17px 	 Node17py 	 Node17pz 	 Node18px 	 Node18py 	 Node18pz 	 Node19px 	 Node19py 	 Node19pz 	 Node20px 	 Node20py 	 Node20pz 	 Seg0Te 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 Seg5Te 	 Seg6Te 	 Seg7Te 	 Seg8Te 	 Seg9Te 	 Seg10Te 	 Seg11Te 	 Seg12Te 	 Seg13Te 	 Seg14Te 	 Seg15Te 	 Seg16Te 	 Seg17Te 	 Seg18Te 	 Seg19Te 	 
0	 133.5	 -231.23	 -70	 126.605	 -219.035	 -70.0025	 119.71	 -206.84	 -70.0025	 112.815	 -194.646	 -70.0025	 105.92	 -182.451	 -70.0025	 99.0256	 -170.256	 -70.0006	 92.1339	 -158.067	 -69.577	 85.256	 -145.902	 -68.5946	 78.4025	 -133.78	 -67.0604	 71.5839	 -121.721	 -64.9821	 64.8102	 -109.74	 -62.3666	 58.0908	 -97.8557	 -59.2244	 51.4344	 -86.0827	 -55.5709	 44.8483	 -74.434	 -51.4241	 38.3395	 -62.9221	 -46.8004	 31.9148	 -51.5588	 -41.7141	 25.5799	 -40.3545	 -36.1818	 19.339	 -29.3164	 -30.2243	 13.1954	 -18.4503	 -23.8629	 7.15223	 -7.76193	 -17.1156	 1.21216	 2.74413	 -10	 375617	 375617	 375616	 375616	 375615	 375786	 376538	 377886	 379819	 382331	 385415	 389055	 393232	 397927	 403123	 408808	 414960	 421555	 428573	 435994	 
0.2	 133.5	 -231.23	 -70	 126.606	 -219.036	 -70.0025	 119.712	 -206.843	 -70.0025	 112.818	 -194.65	 -70.0025	 105.924	 -182.458	 -70.0025	 99.031	 -170.266	 -70.0008	 92.1413	 -158.08	 -69.5786	 85.2656	 -145.919	 -68.5983	 78.4146	 -133.802	 -67.0669	 71.5987	 -121.747	 -64.991	 64.8278	 -109.771	 -62.3788	 58.1113	 -97.8919	 -59.2407	 51.4577	 -86.1238	 -55.5919	 44.8741	 -74.4797	 -51.4514	 38.3679	 -62.9723	 -46.8339	 31.9459	 -51.6138	 -41.7532	 25.6135	 -40.4139	 -36.2274	 19.3748	 -29.3797	 -30.2776	 13.233	 -18.5174	 -23.9244	 7.14257	 -7.90576	 -17.1142	 1.5	 -2.598	 -10	 315329	 306599	 289835	 266460	 238599	 208998	 180858	 156375	 137032	 123235	 114427	 109489	 107208	 106607	 107073	 108291	 110120	 112498	 115419	 0	 
0.3	 133.5	 -231.23	 -70	 126.614	 -219.05	 -70.0025	 119.727	 -206.87	 -70.0025	 112.84	 -194.689	 -70.0025	 105.952	 -182.507	 -70.0025	 99.0636	 -170.323	 -70.0018	 92.1772	 -158.143	 -69.6208	 85.3043	 -145.988	 -68.6471	 78.4553	 -133.874	 -67.1225	 71.6408	 -121.821	 -65.0528	 64.8708	 -109.847	 -62.447	 58.1549	 -97.969	 -59.3156	 51.5016	 -86.2015	 -55.6736	 44.918	 -74.5573	 -51.5403	 38.4117	 -63.0497	 -46.9291	 31.9894	 -51.6908	 -41.8537	 25.6564	 -40.4899	 -36.3333	 19.4169	 -29.4541	 -30.3893	 13.2716	 -18.5932	 -24.0382	 7.06692	 -8.15758	 -17.062	 1.5	 -2.598	 -10.0003	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2942.53	 9550.65	 19391.9	 32056.4	 46459.6	 61358	 75757.3	 89087.7	 101298	 0	 
0.4	 133.5	 -231.23	 -70	 126.619	 -219.059	 -70.0025	 119.737	 -206.887	 -70.0025	 112.854	 -194.714	 -70.0025	 105.97	 -182.539	 -70.0025	 99.0856	 -170.362	 -70.0023	 92.201	 -158.185	 -69.7323	 85.3303	 -146.033	 -68.7627	 78.4826	 -133.922	 -67.2426	 71.6683	 -121.87	 -65.1763	 64.8978	 -109.895	 -62.5738	 58.1814	 -98.0158	 -59.4457	 51.5274	 -86.2471	 -55.8069	 44.9431	 -74.6017	 -51.6772	 38.4362	 -63.093	 -47.0687	 32.0135	 -51.7333	 -41.9952	 25.6801	 -40.5316	 -36.4772	 19.4399	 -29.4951	 -30.5359	 13.2867	 -18.6433	 -24.1776	 6.95268	 -8.43061	 -16.9919	 1.5	 -2.598	 -10.0009	 0	 0	 0	 0	 0	 0	 0	 0	 0	 11913.3	 19875.5	 27614	 35168.3	 42685.9	 50276.9	 57954	 65677.5	 73421	 81423	 0	 
0.5	 133.5	 -231.23	 -70	 126.622	 -219.065	 -70.0025	 119.743	 -206.899	 -70.0025	 112.863	 -194.731	 -70.0025	 105.982	 -182.56	 -70.0025	 99.0993	 -170.386	 -70.0024	 92.2145	 -158.209	 -69.9029	 85.3436	 -146.057	 -68.9347	 78.4944	 -133.943	 -67.416	 71.6791	 -121.889	 -65.3502	 64.9084	 -109.914	 -62.7484	 58.1917	 -98.0341	 -59.6211	 51.5374	 -86.2649	 -55.9832	 44.9528	 -74.6188	 -51.8546	 38.4456	 -63.1097	 -47.2465	 32.0227	 -51.7497	 -42.1729	 25.6891	 -40.5476	 -36.6551	 19.4482	 -29.5109	 -30.714	 13.2795	 -18.6789	 -24.3361	 6.82713	 -8.69816	 -16.9322	 1.5	 -2.598	 -10.0018	 0	 0	 0	 0	 0	 0	 0	 0	 18843.4	 25846.7	 33191.4	 40869.1	 48812.7	 56911	 65065.3	 73243	 81497.7	 89951.5	 99157.3	 0	 
0.6	 133.5	 -231.23	 -70	 126.623	 -219.067	 -70.0025	 119.745	 -206.903	 -70.0025	 112.866	 -194.736	 -70.0025	 105.985	 -182.566	 -70.0025	 99.102	 -170.391	 -70.0025	 92.2158	 -158.212	 -70.0051	 85.3394	 -146.05	 -69.1461	 78.4895	 -133.934	 -67.6263	 71.6743	 -121.88	 -65.5591	 64.9037	 -109.905	 -62.9558	 58.1871	 -98.026	 -59.8274	 51.533	 -86.257	 -56.1885	 44.9485	 -74.6111	 -52.059	 38.4414	 -63.1023	 -47.4497	 32.0188	 -51.7428	 -42.3746	 25.6853	 -40.5409	 -36.8557	 19.4433	 -29.5057	 -30.9124	 13.2475	 -18.7108	 -24.4977	 6.6976	 -8.95653	 -16.8802	 1.5	 -2.598	 -10.0031	 0	 0	 0	 0	 0	 0	 0	 15912.8	 21511.4	 27495.9	 34100.4	 41603.2	 50134.2	 59552.8	 69492.8	 79526.6	 89337.3	 98838	 108742	 0	 
0.7	 133.5	 -231.23	 -70	 126.622	 -219.066	 -70.0025	 119.744	 -206.9	 -70.0025	 112.864	 -194.731	 -70.0025	 105.981	 -182.558	 -70.0025	 99.0952	 -170.379	 -70.0025	 92.2056	 -158.194	 -70.0033	 85.3216	 -146.018	 -69.3834	 78.4716	 -133.903	 -67.8616	 71.6565	 -121.849	 -65.7915	 64.886	 -109.874	 -63.1853	 58.1695	 -97.9949	 -60.0541	 51.5156	 -86.2262	 -56.4127	 44.9313	 -74.5808	 -52.2808	 38.4246	 -63.0726	 -47.6687	 32.0024	 -51.7138	 -42.591	 25.6693	 -40.5128	 -37.0697	 19.4251	 -29.4815	 -31.1215	 13.1884	 -18.7441	 -24.6502	 6.57012	 -9.19228	 -16.8379	 1.5	 -2.598	 -10.0045	 0	 0	 0	 0	 0	 0	 24742.5	 29764	 35432.5	 41594.4	 48172.6	 55017.4	 61952.1	 68861.7	 75750.8	 82728.6	 89952	 97620.3	 106530	 0	 
0.8	 133.5	 -231.23	 -70	 126.619	 -219.06	 -70.0025	 119.737	 -206.888	 -70.0025	 112.853	 -194.712	 -70.0025	 105.965	 -182.53	 -70.0025	 99.0743	 -170.342	 -70.0025	 92.1834	 -158.154	 -70.0026	 85.2948	 -145.971	 -69.6337	 78.4447	 -133.855	 -68.1117	 71.6297	 -121.802	 -66.0379	 64.8595	 -109.827	 -63.4282	 58.1433	 -97.9485	 -60.2935	 51.4897	 -86.1805	 -56.649	 44.9059	 -74.5358	 -52.5138	 38.3997	 -63.0285	 -47.8984	 31.978	 -51.6706	 -42.8175	 25.6452	 -40.4707	 -37.2933	 19.3963	 -29.4464	 -31.3367	 13.1059	 -18.7865	 -24.7896	 6.45112	 -9.39771	 -16.8121	 1.5	 -2.598	 -10.0063	 0	 0	 0	 0	 41615.8	 42967.4	 41734.6	 42015.3	 44816	 49285.7	 54816.1	 61024.7	 67664.7	 74541.4	 81504.1	 88471.4	 95462	 102687	 111034	 0	 
0.9	 133.5	 -231.23	 -70	 126.611	 -219.045	 -70.0025	 119.72	 -206.858	 -70.0025	 112.829	 -194.669	 -70.0025	 105.937	 -182.481	 -70.0025	 99.0461	 -170.292	 -70.0025	 92.1549	 -158.104	 -70.0024	 85.2639	 -145.916	 -69.8857	 78.4132	 -133.799	 -68.3697	 71.5983	 -121.746	 -66.2922	 64.8281	 -109.772	 -63.6786	 58.1122	 -97.8934	 -60.5403	 51.4588	 -86.1258	 -56.8924	 44.8754	 -74.4819	 -52.7536	 38.3697	 -62.9755	 -48.1346	 31.9485	 -51.6185	 -43.0506	 25.6158	 -40.4201	 -37.5229	 19.3583	 -29.4073	 -31.5539	 13.0042	 -18.8435	 -24.913	 6.3442	 -9.56943	 -16.8066	 1.5	 -2.598	 -10.0082	 0	 40626	 68836.9	 70785.2	 70610.8	 68161.5	 65477.5	 64493.9	 66054.8	 68908.7	 72255	 75692.6	 79249.9	 83194.4	 87801	 93199.2	 99358.8	 106304	 114531	 0	 
1	 133.5	 -231.23	 -70	 126.607	 -219.039	 -70.0025	 119.714	 -206.847	 -70.0025	 112.821	 -194.656	 -70.0025	 105.929	 -182.465	 -70.0025	 99.0356	 -170.274	 -70.0025	 92.1428	 -158.083	 -70.0025	 85.2499	 -145.891	 -70.0045	 78.3904	 -133.759	 -68.6295	 71.574	 -121.703	 -66.5502	 64.8027	 -109.727	 -63.9337	 58.0857	 -97.8466	 -60.7925	 51.4315	 -86.0776	 -57.1417	 44.8475	 -74.4326	 -52.9994	 38.3415	 -62.9256	 -48.377	 31.9201	 -51.5683	 -43.2899	 25.5863	 -40.3708	 -37.7584	 19.3141	 -29.3749	 -31.7714	 12.8907	 -18.9216	 -25.0212	 6.25348	 -9.70848	 -16.826	 1.5	 -2.598	 -10.0104	 206580	 206030	 205331	 204895	 204741	 204434	 203312	 201678	 197831	 192090	 184283	 175106	 165794	 157550	 151079	 146497	 143609	 142445	 143552	 0	 
