      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.700        0.700        0.000        0.000  1  0.3756505E+01 -0.1064023E+03 -0.1060760E+01 -0.3603625E+01
       0.750        0.250        0.000        0.000  1  0.2205964E+01 -0.1130635E+03 -0.8641872E+00 -0.2029644E+01
       0.750        0.300        0.000        0.000  1  0.2392002E+01 -0.1060747E+03 -0.6623237E+00 -0.2298478E+01
       0.750        0.350        0.000        0.000  1  0.2588414E+01 -0.1027612E+03 -0.5717517E+00 -0.2524478E+01
       0.750        0.400        0.000        0.000  1  0.2788155E+01 -0.1018407E+03 -0.5721058E+00 -0.2728828E+01
       0.750        0.450        0.000        0.000  1  0.2994778E+01 -0.1024147E+03 -0.6438369E+00 -0.2924752E+01
       0.750        0.500        0.000        0.000  1  0.3208140E+01 -0.1036662E+03 -0.7579689E+00 -0.3117314E+01
       0.750        0.550        0.000        0.000  1  0.3410130E+01 -0.1050025E+03 -0.8827506E+00 -0.3293894E+01
       0.750        0.600        0.000        0.000  1  0.3567534E+01 -0.1062818E+03 -0.1000198E+01 -0.3424457E+01
       0.750        0.650        0.000        0.000  1  0.3652869E+01 -0.1077624E+03 -0.1114380E+01 -0.3478737E+01
       0.750        0.700        0.000        0.000  1  0.3657927E+01 -0.1098021E+03 -0.1239204E+01 -0.3441628E+01
       0.750        0.750        0.000        0.000  1  0.3585091E+01 -0.1125962E+03 -0.1377513E+01 -0.3309884E+01
       0.800        0.250        0.000        0.000  1  0.2448978E+01 -0.1294758E+03 -0.1556944E+01 -0.1890349E+01
       0.800        0.300        0.000        0.000  1  0.2469670E+01 -0.1196220E+03 -0.1220700E+01 -0.2146895E+01
       0.800        0.350        0.000        0.000  1  0.2563658E+01 -0.1135373E+03 -0.1023788E+01 -0.2350361E+01
       0.800        0.400        0.000        0.000  1  0.2693310E+01 -0.1103759E+03 -0.9377514E+00 -0.2524786E+01
       0.800        0.450        0.000        0.000  1  0.2847015E+01 -0.1093416E+03 -0.9429308E+00 -0.2686332E+01
       0.800        0.500        0.000        0.000  1  0.3021140E+01 -0.1095603E+03 -0.1011474E+01 -0.2846789E+01
       0.800        0.550        0.000        0.000  1  0.3201235E+01 -0.1102658E+03 -0.1108831E+01 -0.3003065E+01
       0.800        0.600        0.000        0.000  1  0.3356678E+01 -0.1110948E+03 -0.1208108E+01 -0.3131735E+01
       0.800        0.650        0.000        0.000  1  0.3455599E+01 -0.1121448E+03 -0.1302584E+01 -0.3200693E+01
       0.800        0.700        0.000        0.000  1  0.3479518E+01 -0.1137365E+03 -0.1400612E+01 -0.3185174E+01
       0.800        0.750        0.000        0.000  1  0.3421010E+01 -0.1161705E+03 -0.1508815E+01 -0.3070307E+01
       0.800        0.800        0.000        0.000  1  0.3266005E+01 -0.1197138E+03 -0.1618855E+01 -0.2836565E+01
       0.850        0.250        0.000        0.000  1  0.3032724E+01 -0.1439040E+03 -0.2450535E+01 -0.1786700E+01
       0.850        0.300        0.000        0.000  1  0.2767087E+01 -0.1331054E+03 -0.1890869E+01 -0.2020244E+01
       0.850        0.350        0.000        0.000  1  0.2661691E+01 -0.1246885E+03 -0.1514806E+01 -0.2188599E+01
       0.850        0.400        0.000        0.000  1  0.2646662E+01 -0.1189660E+03 -0.1281753E+01 -0.2315583E+01
       0.850        0.450        0.000        0.000  1  0.2687354E+01 -0.1158713E+03 -0.1172629E+01 -0.2418018E+01
       0.850        0.500        0.000        0.000  1  0.2770823E+01 -0.1148341E+03 -0.1163722E+01 -0.2514600E+01
       0.850        0.550        0.000        0.000  1  0.2886563E+01 -0.1150124E+03 -0.1220483E+01 -0.2615849E+01
       0.850        0.600        0.000        0.000  1  0.3009834E+01 -0.1157225E+03 -0.1306305E+01 -0.2711580E+01
       0.850        0.650        0.000        0.000  1  0.3105486E+01 -0.1167613E+03 -0.1398321E+01 -0.2772858E+01
       0.850        0.700        0.000        0.000  1  0.3142685E+01 -0.1183535E+03 -0.1492495E+01 -0.2765670E+01
       0.850        0.750        0.000        0.000  1  0.3101351E+01 -0.1209376E+03 -0.1594420E+01 -0.2660114E+01
       0.850        0.800        0.000        0.000  1  0.2965572E+01 -0.1251255E+03 -0.1706298E+01 -0.2425524E+01
       0.850        0.850        0.000        0.000  1  0.2706105E+01 -0.1322411E+03 -0.1819183E+01 -0.2003392E+01
       0.900        0.250        0.000        0.000  1  0.4134204E+01 -0.1551008E+03 -0.3749930E+01 -0.1740593E+01
       0.900        0.300        0.000        0.000  1  0.3380949E+01 -0.1457905E+03 -0.2796003E+01 -0.1900837E+01
       0.900        0.350        0.000        0.000  1  0.2890543E+01 -0.1366647E+03 -0.2102438E+01 -0.1983682E+01
       0.900        0.400        0.000        0.000  1  0.2573407E+01 -0.1287081E+03 -0.1609289E+01 -0.2008137E+01
       0.900        0.450        0.000        0.000  1  0.2376552E+01 -0.1231485E+03 -0.1299524E+01 -0.1989783E+01
       0.900        0.500        0.000        0.000  1  0.2274086E+01 -0.1206103E+03 -0.1157955E+01 -0.1957193E+01
       0.900        0.550        0.000        0.000  1  0.2259206E+01 -0.1206637E+03 -0.1152189E+01 -0.1943315E+01
       0.900        0.600        0.000        0.000  1  0.2316175E+01 -0.1221113E+03 -0.1231201E+01 -0.1961839E+01
       0.900        0.650        0.000        0.000  1  0.2403956E+01 -0.1240246E+03 -0.1345131E+01 -0.1992392E+01
       0.900        0.700        0.000        0.000  1  0.2471289E+01 -0.1264092E+03 -0.1466829E+01 -0.1988890E+01
       0.900        0.750        0.000        0.000  1  0.2479641E+01 -0.1300360E+03 -0.1595075E+01 -0.1898514E+01
       0.900        0.800        0.000        0.000  1  0.2413510E+01 -0.1362023E+03 -0.1742041E+01 -0.1670426E+01
       0.900        0.850        0.000        0.000  1  0.2282286E+01 -0.1471599E+03 -0.1917547E+01 -0.1237675E+01
       0.900        0.900        0.000        0.000  1  0.2172641E+01 -0.1681364E+03 -0.2126233E+01 -0.4466587E+00
       0.950        0.250        0.000        0.000  1  0.6644634E+01 -0.1632266E+03 -0.6361929E+01 -0.1917556E+01
       0.950        0.300        0.000        0.000  1  0.4903360E+01 -0.1580996E+03 -0.4549503E+01 -0.1828923E+01
       0.950        0.350        0.000        0.000  1  0.3573306E+01 -0.1524163E+03 -0.3167146E+01 -0.1654600E+01
       0.950        0.400        0.000        0.000  1  0.2533914E+01 -0.1465288E+03 -0.2113697E+01 -0.1397500E+01
       0.950        0.450        0.000        0.000  1  0.1743004E+01 -0.1421461E+03 -0.1376239E+01 -0.1069593E+01
       0.950        0.500        0.000        0.000  1  0.1197196E+01 -0.1430119E+03 -0.9562730E+00 -0.7202920E+00
       0.950        0.550        0.000        0.000  1  0.9293770E+00 -0.1524725E+03 -0.8241611E+00 -0.4295346E+00
       0.950        0.600        0.000        0.000  1  0.9345337E+00 -0.1638085E+03 -0.8974653E+00 -0.2605938E+00
       0.950        0.650        0.000        0.000  1  0.1090484E+01 -0.1688309E+03 -0.1069830E+01 -0.2112324E+00
       0.950        0.700        0.000        0.000  1  0.1283519E+01 -0.1704782E+03 -0.1265835E+01 -0.2123236E+00
       0.950        0.750        0.000        0.000  1  0.1476503E+01 -0.1735107E+03 -0.1467043E+01 -0.1668714E+00
       0.950        0.800        0.000        0.000  1  0.1697699E+01  0.1794083E+03 -0.1697609E+01  0.1753267E-01
       0.950        0.850        0.000        0.000  1  0.2042127E+01  0.1676977E+03 -0.1995233E+01  0.4351156E+00
       0.950        0.900        0.000        0.000  1  0.2707974E+01  0.1523668E+03 -0.2399089E+01  0.1255985E+01
       0.950        0.950        0.000        0.000  1  0.4284782E+01  0.1345247E+03 -0.3004562E+01  0.3054827E+01
       1.000        0.250        0.000        0.000  1  0.1982800E+02 -0.1689136E+03 -0.1945797E+02 -0.3812713E+01
